time (s),temperature (C)
0.17,25.72
0.47,25.36
0.77,25.73
1.07,25.73
1.38,25.5
1.68,25.35
1.98,25.57
2.28,25.63
2.59,25.43
2.89,25.59
3.19,25.99
3.49,25.44
3.8,25.43
4.1,25.61
4.4,25.43
4.7,25.71
5.01,25.53
5.31,25.65
5.61,25.42
5.91,25.3
6.22,25.66
6.52,25.25
6.82,25.25
7.12,25.51
7.43,25.5
7.73,25.82
8.03,25.78
8.33,25.46
8.64,25.46
8.94,25.51
9.24,25.39
9.54,25.56
9.85,25.43
10.15,25.56
10.45,25.73
10.75,25.47
11.06,25.65
11.36,25.35
11.66,25.26
11.96,25.64
12.27,25.5
12.57,25.61
12.87,25.57
13.17,25.79
13.48,25.36
13.78,25.75
14.08,25.35
14.39,25.43
14.69,25.52
14.99,25.47
15.29,25.6
15.6,25.41
15.9,25.41
16.2,25.46
16.5,25.51
16.8,25.47
17.11,25.33
17.41,25.74
17.71,25.56
18.01,25.82
18.32,25.31
18.62,25.56
18.92,25.52
19.22,25.81
19.53,25.84
19.83,25.59
20.13,25.73
20.43,25.61
20.74,25.48
21.04,25.53
21.34,25.43
21.65,25.55
21.95,25.48
22.25,25.49
22.55,25.52
22.86,25.5
23.16,25.21
23.46,25.42
23.76,25.47
24.07,25.5
24.37,25.39
24.67,25.62
24.97,25.33
25.28,25.63
25.58,25.29
25.88,25.63
26.18,25.43
26.49,25.58
26.79,25.62
27.09,25.57
27.39,25.34
27.7,25.59
28.0,25.63
28.3,25.28
28.6,25.53
28.91,25.52
29.21,25.31
29.51,25.33
29.81,25.39
30.12,25.46
30.42,25.57
30.72,25.46
31.02,25.45
31.33,25.12
31.63,25.3
31.93,25.3
32.24,25.45
